date,version1,version2,version3,version4,version5,version6,version7,version8,clicks,time,reward,std_dev
0,24.0,24.0,23.0,30.0,29.0,18.0,28.0,24.0,3.155,14.15,0.437314814815,0.192286771971
1,27.0,24.0,30.0,26.0,20.0,21.0,28.0,24.0,3.265,14.565,0.451111111111,0.191432044625
2,23.0,27.0,21.0,33.0,19.0,19.0,29.0,29.0,3.26,14.68,0.452962962963,0.193443987065
3,22.0,21.0,24.0,41.0,20.0,24.0,26.0,22.0,3.075,14.215,0.434074074074,0.204565852304
4,27.0,28.0,14.0,30.0,18.0,16.0,48.0,19.0,3.33,16.085,0.48287037037,0.208108417686
5,17.0,21.0,18.0,42.0,27.0,21.0,34.0,20.0,3.3,14.375,0.449537037037,0.210321276712
6,25.0,43.0,18.0,26.0,31.0,13.0,25.0,19.0,3.305,14.02,0.443240740741,0.201759046793
7,21.0,27.0,18.0,27.0,22.0,23.0,45.0,17.0,3.375,14.595,0.457777777778,0.18904459813
8,19.0,30.0,18.0,43.0,25.0,12.0,29.0,24.0,3.185,14.48,0.445092592593,0.206889047188
9,12.0,27.0,25.0,29.0,26.0,8.0,50.0,23.0,3.2,14.615,0.448425925926,0.202241193487
