date,version1,version2,version3,version4,version5,version6,version7,version8,clicks,time,reward
0,39.3246187364,45.0925925926,43.3723196881,36.2268518519,48.4006734007,43.567251462,41.975308642,43.0799220273,3.12666666667,13.8066666667,0.429382716049
1,40.4139433551,40.9523809524,36.4814814815,48.268921095,46.4685615848,41.3913913914,44.7685185185,40.8994708995,3.17333333333,13.64,0.428888888889
2,46.7443249701,39.3719806763,38.5942760943,49.3740219092,45.6999372254,41.3454270597,48.8834422658,41.4669571532,3.41333333333,15.68,0.48
3,47.6220538721,38.726445744,41.3019079686,47.8288633461,46.3191586648,44.0072016461,47.8324915825,40.2246508804,3.27333333333,14.64,0.452962962963
4,46.1004273504,41.6214995483,40.3371320038,47.138047138,45.6245461147,42.5925925926,47.0970970971,39.88791423,2.98,13.7,0.419259259259
5,46.5190754664,40.9722222222,41.4141414141,46.9043670536,44.5868945869,41.7962962963,46.2962962963,40.1368760064,3.08666666667,13.8133333333,0.427283950617
6,46.9718145819,40.5521262003,41.1411411411,46.6168091168,44.0128098023,42.328042328,46.8237224566,40.0943396226,3.17333333333,14.4533333333,0.443950617284
7,46.6152263374,41.8999151824,41.2905092593,46.412037037,43.962962963,41.8209876543,46.996996997,39.8618957941,3.25333333333,14.0733333333,0.441358024691
8,46.5174129353,41.5695415695,41.2102243088,46.2495323606,43.287037037,41.4866255144,47.7794536618,41.2266876806,3.27333333333,14.4066666667,0.448641975309
9,46.5237166992,42.4282270436,40.8382066277,45.9611194905,42.7531577821,41.6034046469,47.5030358227,40.7894736842,3.19333333333,13.6466666667,0.43012345679
